name	reading
青沼馬沼押比売神	あおぬまぬおしひめ
阿加流比売神	あかるひめ
飽咋之宇斯能神	あきぐいのうし
秋比売神	あきびめ
秋山之下氷壮夫	あきやまのしたびおとこ
阿久斗比売	あくとびめ
悪樓	あくる
浅間大神	あさま
足柄之坂本神	あしがらのさかもと
阿遅鉏高日子根神	あじすきたかひこね
葦那陀迦神	あしなだか
足名稚命	あしなづち
葦原色許男神	あしはらのしこお
阿須波神	あすは
阿曇大浜	あずみのおおはま
阿陀加夜努志多伎吉比売命	あだかやぬしたききひめ
吾田媛	あたひめ
熱田大神	あつた
姉倉比売神	あねくらひめ
穴戸神	あなと
綾門日女命	あやとひめ
荒熊大神	あらくまおおかみ
淡道之穂之狭別島	あわじのほのさわけしま
淡島神	あわしま
沫那芸神	あわなぎ
沫那美神	あわなみ
天知迦流美豆比売神	あましるかみづひめ
天津国玉神	あまつくにたま
天久米命	あまつくめ
天津彦根命	あまつひこね
天津日高日子波限建鵜葺草葺不合命	あまつひこひこなぎさたけうがやふきあえず
天津日高日子番能迩迩芸命	あまつひこひこほのににぎ
天津日高日子穂穂手見命	あまつひこひこほほでみ
天津日高彦瓊瓊杵尊	あまつひたかひこににぎ
天津日高彦火火出見尊	あまつひたかひこほほでみ
天津麻羅	あまつまら
天津甕星	あまつみかぼし
天御虚空豊秋津根別	あまつみそらとよあきづねわけ
天照御魂神	あまてるみたま
天照大神	あまてらすおおみかみ
天照大御神	あまてらすおおみかみ
天照国照彦天火明櫛玉饒速日命	あまてるくにてるひこあめのほあかりくしたまにぎはやひ
天石門別神	あまのいわとわけ
天活玉命	あめのいくたま
天宇受売命	あめのうずめ
天之忍男	あめのおしお
天之忍許呂別	あめのおしころわけ
天忍日命	あめのおしひ
天之忍穂耳命	あめのおしほみみ
天之尾羽張神	あめのおはばり
天鏡尊	あめのかがみ
天迦久神	あめのかく
天香語山命	あめのかごやま
天神玉命	あめのかむたま
天神櫛玉命	あめのかむくしたま
天之久比奢母智神	あめのくひざもち
天之闇戸神	あめのくらど
天児屋命	あめのこやね
天之狭霧神	あめのさぎり
天探女	あめのさぐめ
天之狭土神	あめのさづち
天之狭手依比売	あめのさでよりひめ
所造天下大神	あめのしたつくらしし
天手力男神	あめのたぢからお
天棚機姫神	あまのたなばたひめ
天之都度閇知泥神	あめのつどへちぬ
天之常立神	あめのとこたち
天豊足柄姫命	あめのとよたらしからひめのみこと
天鳥船神	あめのとりふね
天苗加命	あめのなえますのみこと
天羽槌雄神	あめのはづちのお
天波与命	あめのはよ
天日照命	あめのひでり
天一根	あめのひとつね
天比登都柱	あめひとつはしら
天夷鳥命	あめのひなどり
天日腹大科度美神	あめのひばらおおしなどみ
天日鷲神	あめのひわし
天之吹男神	あめのふきお
天両屋	あめふたや
天太玉命	あめのふとだま
天之冬衣神	あめのふゆきぬ
天火明命	あめのほあかり
天穂日神	あめのほひ
天目一箇神	あめのまひとつ
天御祖神	あめのみおやがみ
天之御影神	あめのみかげ
天之甕主神	あめのみかぬし
天之水分神	あめのみくまり
天御虚空豊秋津根別	あめのみそらとよあきつねわけ
天道日女命	あめのみちひめ
天美津玉照比売命	あめのみつたまてるひめ
天御鳥命	あめのみとり
天之御中主神	あめのみなかぬし
天御柱命	あめのみはしら
天三降命	あめのみふり
天八現津彦命	あめのやあきつひこ
天八意思兼	あめのやごころおもいかね
天八十萬魂尊	あめのやそよろず
天湯河板挙	あめのゆかわたな
天若日子	あめのわかひこ
五百箇磐石尊	いおついわむら
座摩神	いかすりのかみ
活玉前玉比売神	いくたまさきたまひめ
活津日子命	いくつひこね
伊古奈比咩	いこなひめ
伊古麻都比古神	いこまつひこ
伊古麻都比賣神	いこまつひめ
伊佐我命	いさが
伊耶那岐命	いざなぎ
伊耶那美命	いざなみ
石凝姥命	いしこりどめ
伊豆山神	いずさんじん
伊須流伎比古	いするぎひこ
伊勢津彦	いせつひこ
五十猛神	いそたける
市杵嶋姫神	いちきしまひめ
一目連神	いちもくれん
伊豆那姫命	いづなひめ
伊豆能売	いづのめ
稲背脛命	いなせはぎ
井氷鹿	いひか
石押分之子	いわおしわくのこ
磐裂神・根裂神	いわさく・ねさく
石巣比売神	いわすびめ
石土毘古神	いわつちびこ
磐筒男神	いわつつのを
磐筒女神	いわつつのめ
葦夜神	いや
磐長媛命	いわながひめ
宇迦之御魂神	うかのみたま
鵜葺屋葺不合命	うがやふきあえず
保食神	うけもち
宇乃治比古命	うのちひこ
宇比地邇神	うひぢに
須比智邇神	すひぢに
宇摩志阿斯訶備比古遅神	うましあしかびひこじ
蛤貝比売	うむかひめ
表筒男命	うわつつのお
天表春命	うわはる
榎本神	えのもと
大麻比古命	おおあさひこ
大雷	おおいかづち
火雷大神	ほのいかづちのおおかみ
大神比義命	おおがのひぎのみこと
意富加牟豆美命	おおかむづみ
大口真神	おおぐちまがみ
大国主神	おおくにぬし
大気都比売神	おおげつひめ
大事忍男神	おおごとおしお
大多麻流別命	おおたまるわけ
大年神	おおとし
意富斗能地神	おおとのぢ
大斗乃弁神	おおとのべ
大戸日別神	おおとひわけ
大直毘神	おおなおび
大己貴神	おおなむち
大野手比売	おおぬでひめ
大日孁貴神	おおひるめのむち
大禍津日神	おおまがつひ
大宮能売神	おおみやのめ
大物忌神	おおものいみ
大物主神	おおものぬし
大屋都比賣神	おおやつひめ
大屋毘古神	おおやびこ
大山咋神	おおやまくい
大山津見神	おおやまつみ
大綿津見神	おおわたつみ
淤加美神	おかみ
奥疎神	おきさかる
興玉神	おきたまのかみ
奥津甲斐弁羅神	おきつかいべら
奥津那藝佐毘古神	おきつなぎさひこ
奥山津見神	おくやまつみ
乙子狭姫	おとごさひめ
大戸惑子神	おおとまとひこのかみ
大戸惑女神	おおとまとひめのかみ
淤美豆奴神	おみずぬ
思金神	おもいかね
淤母陀琉神	おもだる
阿夜訶志古泥神	あやかしこね
迦具土神	かぐつち
風木津別之忍男神	かざけつわけのおしお
春日神	かすが
家宅六神	かたくろくしん
金屋子神	かなやこ
金山彦神	かなやまひこ
金山姫神	かなやまひめ
神直毘神	かみなおびかみ
神皇産霊神	かみむすび
神大市姫神	かむおおいちひめ
神屋楯比売	かむやたてひめ
迦毛大御神	かも
賀茂建角身命	かもたけつぬみ
賀茂玉依姫	かもたまよりひめ
賀茂別雷神	かもわけいかづち
加夜奈留美命	かやなるみ
韓神	から
蚶貝比売	きさがいひめ
木祖神	きのおや
木俣神	きのまた
伎比佐加美高日子命	きひさかみたかひこ
金鵄	きんとび
久延毘古	くえびこ
久久能智神	くくのち
菊理媛神	くくりひめ
櫛磐間戸神	くしいわまど
櫛玉命	くしたまのみこと
櫛名田姫神	くしなだひめ
櫛真智命	くしまち
櫛八玉神	くしやたま
九頭龍大神	くずりゅう
国忍富神	くにおしとみ
国魂	くにたま
国狭槌尊	くにさつち
国之久比奢母智神	くにのくひざもち
国之闇戸神	くにのくらど
国之狭霧神	くにのさぎり
国之狭土神	くにのさづち
国之常立神	くにのとこたち
国之水分神	くにのみくまり
国御柱命	くにのみはしら
首塚大明神	くびづかだいみょうじん
熊野速玉男神	くまのはやたまのお
熊野久須毘命	くまのくすび
熊野牟須美神	くまのふすみ
闇淤加美神	くらおかみ
淤加美神	おかみのかみ
闇御津羽神	くらみつは
闇山津見神	くらやまつみ
黒雷	くろいかつち
家都御子神	けつみこ
苔牟須売神	こけむすめ
事解之男神	ことさかのお
事代主神	ことしろぬし
木花之佐久夜毘売	このはなのさくやびめ
木花知流比売	このはなちるひめ
賢彦名神	さかしなひこな
前玉比売	さきたまひめ
折雷	さくいかつち
福井神	さくいのかみ
辟田彦	さくたひこ
杉原彦	すぎはらひこ
辟田姫	さくたひめ
刺国大神	さしくにおおかみ
刺国若比売	さしくにわかひめ
佐保姫	さほひめ
寒川比古命	さむかわひこ
寒川比女命	さむかわひめ
猿田彦	さるたひこ
塩土老翁	しおつちのおじ
磯城津彦命	しきつひこ
敷山主神	しきやまぬし
思子淵神	しこぶち
下照姫神	したてるひめ
天下春命	したはる
志那都比古神	しなつひこ
級長戸辺命	しなとべ
白山比咩神	しらやまひめ
須義祢命	すがね
杉原大神	すぎはら
少彦名神	すくなひこな
須佐之男命	すさのお
須勢理毘売命	すせりびめ
住吉三神	すみよし
瀬織津姫命	せおりつひめ
底筒男命	そこつつのお
高淤加美神	たかおかみ
高御産巣日神	たかみむすひ
高照光姫大神命	たかてるひめ
多岐都比売命	たぎつひめ
多紀理毘売命	たきりびめ
栲幡千千姫命	たくはたちぢひめ
建葉槌命	たけはづち
建比良鳥命	たけひらとり
建御雷神	たけみかづち
建御名方神	たけみなかた
田心姫神	たごりひめ
手力男命	たぢからお
立速男命	たちはやお
竜田姫	たつたひめ
多邇具久	たにぐく
多比理岐志麻流美神	たひりきしまるみ
玉祖命	たまのおや
玉依毘売	たまよりびめ
玉依姫	たまよりびめ
玉依毘売命	たまよりびめ
道俣神	ちまたのかみ
新波陀神	にいはたのかみ
撞榊厳魂天疎向津姫命	つきさかきいつみたまあまさかるむかつひめ
月読命	つくよみ
土雷	つちいかつち
角杙神	つのぐい
活杙神	いくぐい
都麻津比賣神	つまつひめ
頬那藝神	つらなぎ
頬那美神	つらなみ
手名稚命	てなづち
遠津待根神	とおつまちね
遠津山岬多良斯神	とおつやまさきたらし
時量師神	ときはかし
年神	としがみ
大年神	おおとしのかみ
鳥取神	ととり
鳥鳴海神	とりなるみ
豊宇気毘売神	とようけびめ
豊雲野神	とよくもの
豊玉毘売	とよたまびめ
豊日別大神	とよひわけ
鳥之石楠船神	とりのいわくすふね
ないの神	ないのかみ
