code	name	parent_code
01	北海道	
02	青森県	
03	岩手県	
04	宮城県	
05	秋田県	
06	山形県	
07	福島県	
08	茨城県	
09	栃木県	
10	群馬県	
11	埼玉県	
12	千葉県	
13	東京都	
14	神奈川県	
15	新潟県	
16	富山県	
17	石川県	
18	福井県	
19	山梨県	
20	長野県	
21	岐阜県	
22	静岡県	
23	愛知県	
24	三重県	
25	滋賀県	
26	京都府	
27	大阪府	
28	兵庫県	
29	奈良県	
30	和歌山県	
31	鳥取県	
32	島根県	
33	岡山県	
34	広島県	
35	山口県	
36	徳島県	
37	香川県	
38	愛媛県	
39	高知県	
40	福岡県	
41	佐賀県	
42	長崎県	
43	熊本県	
44	大分県	
45	宮崎県	
46	鹿児島県	
47	沖縄県	
1100	北海道札幌市	11
1101	北海道札幌市中央区	11
1102	北海道札幌市北区	11
1103	北海道札幌市東区	11
1104	北海道札幌市白石区	11
1105	北海道札幌市豊平区	11
1106	北海道札幌市南区	11
1107	北海道札幌市西区	11
1108	北海道札幌市厚別区	11
1109	北海道札幌市手稲区	11
1110	北海道札幌市清田区	11
1200	北海道市部	12
1202	北海道函館市	12
1203	北海道小樽市	12
1204	北海道旭川市	12
1205	北海道室蘭市	12
1206	北海道釧路市	12
1207	北海道帯広市	12
1208	北海道北見市	12
1209	北海道夕張市	12
1210	北海道岩見沢市	12
1211	北海道網走市	12
1212	北海道留萌市	12
1213	北海道苫小牧市	12
1214	北海道稚内市	12
1215	北海道美唄市	12
1216	北海道芦別市	12
1217	北海道江別市	12
1218	北海道赤平市	12
1219	北海道紋別市	12
1220	北海道士別市	12
1221	北海道名寄市	12
1222	北海道三笠市	12
1223	北海道根室市	12
1224	北海道千歳市	12
1225	北海道滝川市	12
1226	北海道砂川市	12
1227	北海道歌志内市	12
1228	北海道深川市	12
1229	北海道富良野市	12
1230	北海道登別市	12
1231	北海道恵庭市	12
1233	北海道伊達市	12
1234	北海道北広島市	12
1235	北海道石狩市	12
1236	北海道北斗市	12
1300	北海道石狩振興局	13
1303	北海道石狩郡当別町	13
1304	北海道石狩郡新篠津村	13
1330	北海道渡島総合振興局	13
1331	北海道松前郡松前町	13
1332	北海道松前郡福島町	13
1333	北海道上磯郡知内町	13
1334	北海道上磯郡木古内町	13
1337	北海道亀田郡七飯町	13
1343	北海道茅部郡鹿部町	13
1345	北海道茅部郡森町	13
1346	北海道二海郡八雲町	13
1347	北海道山越郡長万部町	13
1360	北海道檜山振興局	13
1361	北海道檜山郡江差町	13
1362	北海道檜山郡上ノ国町	13
1363	北海道檜山郡厚沢部町	13
1364	北海道爾志郡乙部町	13
1367	北海道奥尻郡奥尻町	13
1370	北海道瀬棚郡今金町	13
1371	北海道久遠郡せたな町	13
1390	北海道後志総合振興局	13
1391	北海道島牧郡島牧村	13
1392	北海道寿都郡寿都町	13
1393	北海道寿都郡黒松内町	13
1394	北海道磯谷郡蘭越町	13
1395	北海道虻田郡ニセコ町	13
1396	北海道虻田郡真狩村	13
1397	北海道虻田郡留寿都村	13
1398	北海道虻田郡喜茂別町	13
1399	北海道虻田郡京極町	13
1400	北海道虻田郡倶知安町	14
1401	北海道岩内郡共和町	14
1402	北海道岩内郡岩内町	14
1403	北海道古宇郡泊村	14
1404	北海道古宇郡神恵内村	14
1405	北海道積丹郡積丹町	14
1406	北海道古平郡古平町	14
1407	北海道余市郡仁木町	14
1408	北海道余市郡余市町	14
1409	北海道余市郡赤井川村	14
1420	北海道空知総合振興局	14
1423	北海道空知郡南幌町	14
1424	北海道空知郡奈井江町	14
1425	北海道空知郡上砂川町	14
1427	北海道夕張郡由仁町	14
1428	北海道夕張郡長沼町	14
1429	北海道夕張郡栗山町	14
1430	北海道樺戸郡月形町	14
1431	北海道樺戸郡浦臼町	14
1432	北海道樺戸郡新十津川町	14
1433	北海道雨竜郡妹背牛町	14
1434	北海道雨竜郡秩父別町	14
1436	北海道雨竜郡雨竜町	14
1437	北海道雨竜郡北竜町	14
1438	北海道雨竜郡沼田町	14
1450	北海道上川総合振興局	14
1452	北海道上川郡鷹栖町	14
1453	北海道上川郡東神楽町	14
1454	北海道上川郡当麻町	14
1455	北海道上川郡比布町	14
1456	北海道上川郡愛別町	14
1457	北海道上川郡上川町	14
1458	北海道上川郡東川町	14
1459	北海道上川郡美瑛町	14
1460	北海道空知郡上富良野町	14
1461	北海道空知郡中富良野町	14
1462	北海道空知郡南富良野町	14
1463	北海道勇払郡占冠村	14
1464	北海道上川郡和寒町	14
