id	name	reading	image
1	青沼馬沼押比売神	あおぬまぬおしひめ	
2	阿加流比売神	あかるひめ	
3	飽咋之宇斯能神	あきぐいのうし	
4	秋比売神	あきびめ	
5	秋山之下氷壮夫	あきやまのしたびおとこ	
6	阿久斗比売	あくとびめ	
7	悪樓	あくる	
8	浅間大神	あさま	
9	足柄之坂本神	あしがらのさかもと	
10	阿遅鉏高日子根神	あじすきたかひこね	
11	葦那陀迦神	あしなだか	
12	足名稚命	あしなづち	
13	葦原色許男神	あしはらのしこお	
14	阿須波神	あすは	
15	阿曇大浜	あずみのおおはま	
16	阿陀加夜努志多伎吉比売命	あだかやぬしたききひめ	
17	吾田媛	あたひめ	
18	熱田大神	あつた	
19	穴戸神	あなと	
20	姉倉比売神	あねくらひめ	
21	天知迦流美豆比売神	あましるかみづひめ	
22	天津国玉神	あまつくにたま	
23	天久米命	あまつくめ	
24	天津彦根命	あまつひこね	
25	天津日高日子波限建鵜葺草葺不合命	あまつひこひこなぎさたけうがやふきあえず	
26	天津麻羅	あまつまら	
27	天津甕星	あまつみかぼし	
28	天御虚空豊秋津根別	あまつみそらとよあきづねわけ	
29	天照大御神	あまてらすおおみかみ	amaterasuomikami.png
30	天照国照彦天火明櫛玉饒速日命	あまてるくにてるひこあめのほあかりくしたまにぎはやひ	
31	天照御魂神	あまてるみたま	
32	天石門別神	あまのいわとわけ	
33	天棚機姫神	あまのたなばたひめ	
34	天活玉命	あめのいくたま	
35	天宇受売命	あめのうずめ	
36	天之忍男	あめのおしお	
37	天之忍許呂別	あめのおしころわけ	
38	天忍日命	あめのおしひ	
39	天之忍穂耳命	あめのおしほみみ	amenooshihomimi.png
40	天之尾羽張神	あめのおはばり	
41	天鏡尊	あめのかがみ	
42	天迦久神	あめのかく	
43	天香語山命	あめのかごやま	
44	天神櫛玉命	あめのかむくしたま	
45	天神玉命	あめのかむたま	
46	天之久比奢母智神	あめのくひざもち	
47	天之闇戸神	あめのくらど	
48	天児屋命	あめのこやね	
49	天之狭霧神	あめのさぎり	
50	天探女	あめのさぐめ	
51	天之狭土神	あめのさづち	
52	天之狭手依比売	あめのさでよりひめ	
53	所造天下大神	あめのしたつくらしし	
54	天手力男神	あめのたぢからお	
55	天之都度閇知泥神	あめのつどへちぬ	
56	天之常立神	あめのとこたち	
57	天豊足柄姫命	あめのとよたらしからひめのみこと	
58	天鳥船神	あめのとりふね	
59	天苗加命	あめのなえますのみこと	
60	天羽槌雄神	あめのはづちのお	
61	天波与命	あめのはよ	
62	天日照命	あめのひでり	
63	天一根	あめのひとつね	
64	天夷鳥命	あめのひなどり	
65	天日腹大科度美神	あめのひばらおおしなどみ	
66	天日鷲神	あめのひわし	
67	天之吹男神	あめのふきお	
68	天太玉命	あめのふとだま	
69	天之冬衣神	あめのふゆきぬ	
70	天火明命	あめのほあかり	
71	天穂日神	あめのほひ	
72	天目一箇神	あめのまひとつ	
73	天御祖神	あめのみおやがみ	
74	天之御影神	あめのみかげ	
75	天之甕主神	あめのみかぬし	
76	天之水分神	あめのみくまり	
77	天御虚空豊秋津根別	あめのみそらとよあきつねわけ	
78	天道日女命	あめのみちひめ	
79	天美津玉照比売命	あめのみつたまてるひめ	
80	天御鳥命	あめのみとり	
81	天之御中主神	あめのみなかぬし	amenominakanushi.png
82	天御柱命	あめのみはしら	
83	天三降命	あめのみふり	
84	天八現津彦命	あめのやあきつひこ	
85	天八意思兼	あめのやごころおもいかね	
86	天八十萬魂尊	あめのやそよろず	
87	天湯河板挙	あめのゆかわたな	
88	天若日子	あめのわかひこ	
89	天比登都柱	あめひとつはしら	
90	天両屋	あめふたや	
91	阿夜訶志古泥神	あやかしこね	ayakashikone.png
92	綾門日女命	あやとひめ	
93	荒熊大神	あらくまおおかみ	
94	淡道之穂之狭別島	あわじのほのさわけしま	
95	淡島神	あわしま	
96	沫那芸神	あわなぎ	
97	沫那美神	あわなみ	
98	五百箇磐石尊	いおついわむら	
99	座摩神	いかすりのかみ	
100	活杙神	いくぐい	
101	活玉前玉比売神	いくたまさきたまひめ	
102	活津日子命	いくつひこね	
103	伊古奈比咩	いこなひめ	
104	伊古麻都比古神	いこまつひこ	
105	伊古麻都比賣神	いこまつひめ	
106	伊佐我命	いさが	
107	伊耶那岐命	いざなぎ	izanagi.png
108	伊耶那美命	いざなみ	izanami.png
109	石凝姥命	いしこりどめ	
110	伊豆山神	いずさんじん	
111	伊須流伎比古	いするぎひこ	
112	伊勢津彦	いせつひこ	
113	五十猛神	いそたける	
114	市杵嶋姫神	いちきしまひめ	ichikishimahime.png
115	一目連神	いちもくれん	
116	伊豆那姫命	いづなひめ	
117	伊豆能売	いづのめ	
118	稲背脛命	いなせはぎ	
119	井氷鹿	いひか	
120	葦夜神	いや	
121	石押分之子	いわおしわくのこ	
122	磐裂神・根裂神	いわさく・ねさく	
123	石巣比売神	いわすびめ	
124	石土毘古神	いわつちびこ	
125	磐筒女神	いわつつのめ	
126	磐筒男神	いわつつのを	
127	磐長媛命	いわながひめ	iwanagahime.png
128	宇迦之御魂神	うかのみたま	
129	鵜葺屋葺不合命	うがやふきあえず	
130	保食神	うけもち	
131	宇乃治比古命	うのちひこ	
132	宇比地邇神	うひぢに	
133	宇摩志阿斯訶備比古遅神	うましあしかびひこじ	
134	蛤貝比売	うむかひめ	
