
id	name	kana	postal_code	prefecture	area	location	lat	lng	classification	founded	history	festivals
1	熊野神社			28	0028301	兵庫県 猪名川町	34.8583583	135.3828109	式内社・官幣小社			[]
2	大日神社			28	0028215	兵庫県 三木市	34.8179099	135.0214801	式外社			[]
3	大日神社			28	0028215	兵庫県 三木市	34.823387	135.0224187	式外社			[]
4	山辺神社			27	0027322	大阪府 能勢町	34.9836062	135.3925476	式内社・官幣小社			[]
5	愛宕神社			28	0028219	兵庫県 三田市	34.8939806	135.2319439	式外社			[]
6	名来神社			28	0028219	兵庫県 三田市	34.8413222	135.2394461	式外社			[]
7	皇太神社			28	0028219	兵庫県 三田市	34.8095104	135.2502954	式外社			[]
8	秀吉大明神			28	0028219	兵庫県 三田市	34.8202585	135.247888	式外社			[]
9	天満神社			28	0028214	兵庫県 宝塚市	34.8215113	135.3778893	式外社			[]
10	岩代神社			28	0028219	兵庫県 三田市	34.9084395	135.131297	式外社			[]
11	八坂神社			28	0028221	兵庫県 篠山市	35.0022683	135.2969559	式外社			[]
12	山王大権現神社			27	0027322	大阪府 能勢町	35.0002816	135.3106854	式外社			[]
13	愛宕神社			27	0027322	大阪府 能勢町	35.0087463	135.3110566	式外社			[]
14	住吉神社			28	0028228	兵庫県 加東市	34.9215751	135.0189218	式内社・官幣大社			[]
15	金山彦神社			28	0028301	兵庫県 猪名川町	34.8991725	135.3489727	式外社			[]
16	稲荷神社			28	0028219	兵庫県 三田市	34.937368	135.2014537	式外社			[]
17	末西天満神社			28	0028219	兵庫県 三田市	34.9497902	135.2093274	式外社			[]
18	天満神社			28	0028219	兵庫県 三田市	34.9124298	135.1996683	式外社			[]
19	末東天満神社			28	0028219	兵庫県 三田市	34.9435893	135.2117818	式外社			[]
20	八王子之宮神社			28	0028219	兵庫県 三田市	34.8689187	135.2239084	式外社			[]
21	熊野神社			28	0028219	兵庫県 三田市	34.9156351	135.2044984	式内社・官幣小社			[]
22	皇太神社			28	0028219	兵庫県 三田市	34.9362041	135.1741889	式外社			[]
23	加茂神社			28	0028219	兵庫県 三田市	34.9294983	135.1943428	式外社			[]
24	駒宇佐八幡宮			28	0028221	兵庫県 篠山市	34.9865262	135.1934277	式外社			[]
25	須磨田大歳神社			28	0028219	兵庫県 三田市	34.9711401	135.1943966	式外社			[]
26	大歳神社			28	0028219	兵庫県 三田市	34.9427321	135.2704842	式内社・官幣小社			[]
27	八坂神社			28	0028219	兵庫県 三田市	34.947214	135.2631893	式外社			[]
28	男山八幡宮			28	0028219	兵庫県 三田市	34.9576114	135.2717557	式外社			[]
29	高売布神社			28	0028219	兵庫県 三田市	34.9587453	135.2673418	式内社・官幣小社			[]
